conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89535E+18,Fri Feb 28 05:33:31 +0000 2025,16,Mahasiswa Indonesia Ciptakan Mobil Bahan Bakar Hidrogen Raih Juara di Qatar dan Pecahkan Rekor Asia Mahasiswa Universitas Indonesia (UI) berhasil menciptakan menciptakan mobil hidrogen dan meraih Juara 1 di Shell Eco Marathon 2025. https://t.co/4GLzbtoCFx,1.89535E+18,https://pbs.twimg.com/ext_tw_video_thumb/1895346265158021121/pu/img/uPitccMPzCa66tc_.jpg,,in,,2,1,4,https://x.com/VIVAcoid/status/1895346573724524883,41730943,VIVAcoid
1.89652E+18,Mon Mar 03 11:04:50 +0000 2025,31560,yang ngoplos : pertamina yang disidak : shell yang pengen investor asing banyak invest di indonesia : pemerintah yang bikin investor asing susah/malas investasi ke indo : pemerintah+ormas hotel : trivago,1.89652E+18,,,in,Void,117,127,9340,https://x.com/speedingjunkie/status/1896517117153001622,1.47938E+18,speedingjunkie
1.89682E+18,Tue Mar 04 07:00:00 +0000 2025,27,Terpantau SPBU swasta menaikkan harga beberapa jenis BBM-nya pada Maret 2025. Shell Vivo dan BP kompak menaikkan harga BBM RON 92 Rp100-Rp240 per liter. Begitu pula untuk BBM RON 95 harganya kompak dikerek naik Rp120 per liter. Sementara itu Pertamina menahan harga BBM RON https://t.co/2qHaonRbGI,1.89682E+18,https://pbs.twimg.com/media/GlHxTa3bkAAF0TV.jpg,,in,Indonesia,1,0,8,https://x.com/GNFI/status/1896817888268267733,39677695,GNFI
1.8985E+18,Sun Mar 09 02:44:17 +0000 2025,4697,@biasalahanakmud Sekedar tambahan; Inilah alasan mengapa shell memiliki SOP bagi para pemotor yang motornya memiliki tangki didepan diwajibkan untuk turun saat sedang mengisi BBM https://t.co/4fBV5HU4sl,1.89857E+18,https://pbs.twimg.com/ext_tw_video_thumb/1627598206493401091/pu/img/TLD4NBP_kgI_s7Vn.jpg,biasalahanakmud,in,"Republic of Bashkortostan, Rus",62,36,655,https://x.com/pra_dypta/status/1898565476760060335,74623349,pra_dypta
1.89782E+18,Fri Mar 07 01:17:35 +0000 2025,249,Tidak membeli BBM Produk Pertamina bukan berarti tidak mencintai Indonesia Toh... BP. Shell Vivo dan Exxon Mobil juga sama-sama bayar pajak kepada Indonesia https://t.co/BDkoTOkBFK,1.89782E+18,https://pbs.twimg.com/media/GlZoNqjbwAUnQ8X.jpg,,in,I N D O N E S I A,8,103,79,https://x.com/Heraloebss/status/1897818879247966683,1.25182E+18,Heraloebss
1.89569E+18,Sat Mar 01 04:34:30 +0000 2025,14129,Shell Sampai BP Kompak Naikkan Harga BBM Per Hari Ini 1 Maret 2025 https://t.co/nWk2GLiEIT,1.89569E+18,,,in,,1860,1339,1444,https://x.com/CNNIndonesia/status/1895694109870068196,17128975,CNNIndonesia
1.89536E+18,Fri Feb 28 06:34:36 +0000 2025,569,Bubarkan Pertamina biar Shell atau Petronas yg jual BBM di Indonesia. 3 Desember 2024 https://t.co/dDdbgJIzBD,1.89536E+18,https://pbs.twimg.com/ext_tw_video_thumb/1895361796443078656/pu/img/z_w-wrc8xbfnpqYF.jpg,,in,,4,21,196,https://x.com/Bambangmulyonoo/status/1895361944993046672,1.29631E+18,Bambangmulyonoo
1.89577E+18,Sat Mar 01 09:24:21 +0000 2025,4065, BREAKING: KENAIKAN harga BBM per 1 Maret 2025. ️ : ber.kendara [Instagram] NOOOO MY SHELL NAIK WAK https://t.co/Ptjgv2QDQ6,1.89577E+18,https://pbs.twimg.com/media/Gk8eFZZbIAAU-cq.jpg,,in,,102,366,256,https://x.com/idextratime/status/1895767054038512109,1.22293E+18,idextratime
1.89531E+18,Fri Feb 28 02:49:30 +0000 2025,10,Ron 90 Tidak Mungkin Naik Jadi Ron 92 Pertamax? Kalau pun dipakai zat addictive itu hanya untuk menambah value. Itu yang diketahui oleh Ingrid Siburian Presdir PT. Shell Mobility Indonesia. Pertamina gimana? #DanantaraKaramkanNKRI #DanantaraKaramkanNKRI https://t.co/IIz3WsmxPq,1.89531E+18,https://pbs.twimg.com/amplify_video_thumb/1895305155614253058/img/-zdP7gNDUCiyqPv1.jpg,,in,,0,1,6,https://x.com/Zay34562/status/1895305295716606133,1.54106E+18,Zay34562
1.90063E+18,Fri Mar 14 19:45:49 +0000 2025,0,Sebagai konsumen Shell. GUE BENCI BANGET SAMA PEMERINTAH INDONESIA KONOHA INI YANG LAMA ACC SHELL MASUK INDO. Tolol kalian pemerintah. PERTAMINA AJA DIREKSINYA KORUP NAN BANGSAT SEMOGA MEREKA DAN KETURUNANNYA DIKUTUK SEMUA KETURUNANNYA UNLESS MEREKA TERIMA YESUS SBG TUHAN!!!!!!,1.90063E+18,,,in,Now in LA,0,0,0,https://x.com/simsblast/status/1900634493138202960,1.83049E+18,simsblast
